n,time
533,0.055
534,0.057
535,0.058
536,0.055
537,0.056
538,0.062
539,0.059
540,0.056
541,0.059
542,0.057
543,0.057
544,0.059
545,0.062
546,0.058
547,0.056
548,0.061
549,0.059
550,0.057
551,0.058
552,0.062
553,0.058
554,0.061
555,0.060
556,0.060
557,0.059
558,0.063
559,0.060
560,0.056
561,0.064
562,0.066
563,0.062
564,0.061
565,0.064
566,0.063
567,0.060
568,0.061
569,0.059
570,0.060
571,0.059
572,0.061
573,0.058
574,0.057
575,0.063
576,0.063
577,0.058
578,0.062
579,0.058
580,0.060
581,0.058
582,0.064
583,0.059
584,0.060
585,0.061
586,0.057
587,0.060
588,0.064
589,0.063
590,0.077
591,0.062
592,0.061
593,0.062
594,0.065
595,0.062
596,0.061
597,0.060
598,0.067
599,0.063
600,0.062
601,0.068
602,0.062
603,0.073
604,0.078
605,0.064
606,0.067
607,0.073
608,0.069
609,0.062
610,0.072
611,0.066
612,0.061
613,0.072
614,0.066
615,0.064
616,0.066
617,0.064
618,0.062
619,0.074
620,0.066
621,0.068
622,0.069
623,0.068
624,0.066
625,0.067
626,0.064
627,0.068
628,0.065
629,0.064
630,0.069
631,0.066
632,0.065
633,0.064
634,0.067
635,0.067
636,0.065
637,0.066
638,0.068
639,0.066
640,0.070
641,0.072
642,0.069
643,0.068
644,0.068
645,0.066
646,0.065
647,0.073
648,0.071
649,0.066
650,0.072
651,0.067
652,0.075
653,0.087
654,0.064
655,0.074
656,0.065
657,0.064
658,0.066
659,0.069
660,0.065
661,0.069
662,0.066
663,0.068
664,0.073
665,0.067
666,0.065
667,0.068
668,0.067
669,0.066
670,0.071
671,0.066
672,0.069
673,0.070
674,0.069
675,0.069
676,0.069
677,0.064
678,0.064
679,0.072
680,0.066
681,0.068
682,0.068
683,0.067
684,0.067
685,0.066
686,0.066
687,0.066
688,0.065
689,0.069
690,0.067
691,0.068
692,0.076
693,0.068
694,0.069
695,0.076
696,0.066
697,0.075
698,0.074
699,0.066
700,0.076
701,0.068
702,0.074
703,0.079
704,0.070
705,0.073
706,0.076
707,0.073
708,0.082
709,0.070
710,0.069
711,0.072
712,0.070
713,0.068
714,0.075
715,0.078
716,0.072
717,0.077
718,0.069
719,0.069
720,0.073
721,0.069
722,0.071
723,0.074
724,0.071
725,0.076
726,0.076
727,0.073
728,0.074
729,0.071
730,0.069
731,0.078
732,0.076
733,0.073
734,0.079
735,0.080
736,0.081
737,0.075
738,0.072
739,0.070
740,0.070
741,0.070
742,0.077
743,0.070
744,0.074
745,0.080
746,0.073
747,0.076
748,0.081
749,0.072
750,0.072
751,0.074
752,0.073
753,0.073
754,0.068
755,0.069
756,0.073
757,0.070
758,0.073
759,0.076
760,0.089
761,0.089
762,0.084
763,0.086
764,0.081
765,0.088
766,0.093
767,0.086
768,0.087
769,0.084
770,0.087
771,0.086
772,0.087
773,0.081
774,0.085
775,0.089
776,0.094
777,0.093
778,0.110
779,0.110
780,0.109
781,0.077
782,0.091
783,0.081
784,0.084
785,0.084
786,0.078
787,0.082
788,0.081
789,0.085
790,0.088
791,0.072
792,0.092
793,0.093
794,0.101
795,0.097
796,0.091
797,0.086
798,0.082
799,0.087
800,0.084
801,0.085
802,0.088
803,0.092
804,0.085
805,0.078
806,0.086
807,0.077
808,0.074
809,0.088
810,0.080
811,0.091
812,0.086
813,0.078
814,0.111
815,0.088
816,0.096
817,0.082
818,0.089
819,0.092
820,0.084
821,0.085
822,0.088
823,0.105
824,0.084
825,0.091
826,0.075
827,0.080
828,0.089
829,0.073
830,0.074
831,0.086
832,0.081
833,0.083
834,0.082
835,0.087
836,0.087
837,0.091
838,0.091
839,0.092
840,0.098
841,0.093
842,0.095
843,0.095
844,0.093
845,0.081
846,0.091
847,0.116
848,0.098
849,0.093
850,0.111
851,0.108
852,0.094
853,0.098
854,0.096
855,0.101
856,0.092
857,0.099
858,0.088
859,0.086
860,0.080
861,0.082
862,0.100
863,0.097
864,0.101
865,0.100
866,0.101
867,0.095
868,0.091
869,0.091
870,0.086
871,0.091
872,0.085
873,0.094
874,0.084
875,0.087
876,0.092
877,0.083
878,0.095
879,0.082
880,0.092
881,0.083
882,0.082
883,0.090
884,0.085
885,0.088
886,0.091
887,0.086
888,0.103
889,0.103
890,0.100
891,0.088
892,0.097
893,0.099
894,0.089
895,0.090
896,0.094
897,0.103
898,0.101
899,0.096
900,0.088
901,0.092
902,0.092
903,0.098
904,0.098
905,0.090
906,0.093
907,0.093
908,0.106
909,0.098
910,0.087
911,0.090
912,0.088
913,0.086
914,0.096
915,0.102
916,0.088
917,0.089
918,0.090
919,0.094
920,0.089
921,0.092
922,0.092
923,0.091
924,0.089
925,0.090
926,0.087
927,0.091
928,0.093
929,0.093
930,0.097
931,0.097
932,0.098
933,0.092
934,0.092
935,0.091
936,0.086
937,0.089
938,0.090
939,0.096
940,0.088
941,0.090
942,0.090
943,0.095
944,0.090
945,0.090
946,0.106
947,0.092
948,0.092
949,0.087
950,0.094
951,0.094
952,0.091
953,0.092
954,0.091
955,0.103
956,0.093
957,0.087
958,0.088
959,0.094
960,0.092
961,0.091
962,0.092
963,0.090
964,0.090
965,0.092
966,0.091
967,0.091
968,0.096
969,0.096
970,0.097
971,0.088
972,0.095
973,0.094
974,0.092
975,0.092
976,0.095
977,0.096
978,0.099
979,0.101
980,0.094
981,0.098
982,0.097
983,0.094
984,0.095
985,0.093
986,0.094
987,0.101
988,0.097
989,0.096
990,0.096
991,0.100
992,0.109
993,0.092
994,0.091
995,0.093
996,0.099
997,0.093
998,0.095
999,0.097
1000,0.098
