n,time
1,0.041
2,0.039
3,0.037
4,0.037
5,0.040
6,0.040
7,0.039
8,0.041
9,0.038
10,0.036
11,0.037
12,0.036
13,0.040
14,0.039
15,0.040
16,0.040
17,0.036
18,0.037
19,0.040
20,0.039
21,0.040
22,0.042
23,0.045
24,0.041
25,0.042
26,0.048
27,0.068
28,0.049
29,0.050
30,0.056
31,0.062
32,0.078
33,0.161
34,0.060
35,0.217
36,0.706
37,0.276
38,0.884
39,0.142
40,0.344
41,2.495
42,3.072
43,3.687
44,0.291
45,5.511
46,2.671
47,1.813
48,0.761
49,1.936
50,7.793
